Parameter,coniferous,coniferous,mixed,shrub,barren,wetland,water,impervious
ds,5.00E+00,5.00E+00,5.00E+00,1.00E+00,2.00E+00,2.00E+09,0.00E+00,
dsfs,5.00E+00,5.00E+00,5.00E+00,3.00E+01,3.00E+01,2.00E+09,0.00E+00,
Re,3.14E-02,2.86E-02,2.75E-02,2.75E-02,1.71E-02,1.00E-04,1.00E-01,
AK,4.20E+01,1.26E+01,2.70E+01,5.00E+01,5.00E+01,2.00E+02,-1.00E-01,
AKfs,2.59E+01,1.25E+01,2.70E+01,2.00E+01,2.00E+01,2.00E+02,-1.00E-01,
retn,2.10E+01,2.20E+01,3.56E+01,2.00E+01,2.20E+01,1.00E-01,0.00E+00,
ak2,1.86E-01,1.86E-01,1.73E-01,1.44E-01,1.86E-01,3.49E-10,5.00E-07,
ak2fs,9.30E-02,9.30E-02,8.60E-02,7.20E-02,9.30E-02,1.49E-10,5.00E-07,
R3,3.00E+01,3.00E+01,3.00E+01,9.20E+02,9.20E+02,5.00E+02,3.00E+01,
r3fs,3.00E+01,3.00E+01,3.00E+01,5.00E+02,5.00E+02,3.00E+01,3.00E+01,
r4,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,
ch,7.00E-01,9.00E-01,9.00E-01,1.00E+00,1.00E+00,7.00E-01,6.00E-01,
MF,1.12E-01,1.12E-01,1.12E-01,1.12E-01,1.12E-01,9.44E-02,1.10E-01,1.00E-01
BASE,-5.48E-01,2.73E+00,2.73E+00,2.73E+00,2.73E+00,2.73E+00,0.00E+00,0.00E+00
NMF,6.60E-02,1.37E-01,5.21E-02,1.02E-02,1.02E-02,4.24E-02,8.00E-02,8.00E-02
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,1.50E-01,1.50E-01,1.50E-01,1.50E-01,1.50E-01,1.50E-01,1.50E-01,1.50E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
