Parameter,barren,Agricultural,coniferous,deciduous,mixed,wetland,glacier,water
ds,1.00E+00,2.00E+00,2.00E+01,2.00E+01,2.00E+01,1.00E+09,0.00E+00,0.00E+00
dsfs,1.00E+00,2.00E+00,2.00E+01,2.00E+01,2.00E+01,1.00E+09,0.00E+00,0.00E+00
Re,3.00E-02,5.00E-02,8.00E-02,8.00E-02,8.00E-02,1.00E-01,6.00E-01,1.00E-01
AK,3.00E+00,3.00E+00,1.20E+01,1.20E+01,1.20E+01,9.99E+01,1.00E-10,-1.00E-01
AKfs,3.00E+00,3.00E+00,1.20E+01,1.20E+01,1.20E+01,9.99E+01,1.00E-10,-1.00E-01
retn,1.50E+01,2.50E+01,2.50E+01,2.50E+01,2.50E+01,2.50E-01,0.00E+00,1.00E-01
ak2,2.01E-01,2.02E-01,2.02E-01,2.02E-01,2.02E-01,2.40E-04,2.40E-10,2.00E-02
ak2fs,2.01E-01,2.02E-01,2.02E-01,2.02E-01,2.02E-01,2.40E-04,2.40E-10,2.00E-02
R3,3.68E+01,2.71E+01,3.94E+01,3.81E+01,3.81E+01,8.98E+00,9.02E+00,4.00E+00
R3fs,3.68E+01,2.71E+01,3.94E+01,3.81E+01,3.81E+01,8.98E+00,9.02E+00,4.00E+00
r4,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01
ch,1.00E+00,7.00E-01,9.00E-01,9.00E-01,9.00E-01,7.00E-01,7.00E-01,6.00E-01
MF,1.65E-01,1.22E-01,1.22E-01,1.22E-01,1.22E-01,1.21E-01,1.66E-01,1.20E-01
BASE,3.00E+00,1.00E+00,1.00E+00,2.00E+00,-2.00E+00,-2.00E-02,3.00E+00,0.00E+00
nmf,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-01,0.00E+00,0.00E+00
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,1.00E-01,2.00E-01,2.00E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
