Parameter,grass,agricultural,deciduous,coniferous,coniferous,mixed,shrub,barren,wetland,wetland,water,impervious
ds,2.00,0.10,10.00,1.00,10.00,1.00,0.10,1.00,0.10,0.10,0.00,1.00
dsfs,2.00,0.10,10.00,1.00,10.00,1.00,0.10,1.00,0.10,0.10,0.00,1.00
rec,3.99,0.10,3.57,0.10,0.63,0.43,0.10,2.22,3.00,3.00,0.10,0.00
ak,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00
akfs,1.07,2.00,1.48,2.00,2.00,2.00,1.00,2.00,2.00,2.00,0.00,0.00
retn,100.00,100.00,105.00,45.00,66.60,35.00,10.00,50.00,110.00,110.00,0.10,0.00
ak2,0.01,0.01,0.01,0.01,0.08,0.01,0.06,0.15,0.01,0.01,0.00,0.00
ak2fs,1.68E-02,6.89E-02,1.83E-02,6.89E-02,5.12E-02,1.93E-02,2.33E-02,0.13,6.89E-02,6.89E-02,1.00E-03,1.00E-1
r3,20.00,20.00,0.01,0.01,84.80,84.80,2.00,84.80,0.01,8.98E-03,4.00,19.70
r3fs,1.00,0.10,0.10,0.10,10.00,10.00,1.00,10.00,0.10,0.10,4.00,10.00
r4,1.00,10.00,10.00,10.00,10.00,10.00,1.00,1.00,10.00,10.00,10.00,1.00
fpet,1.50,1.98,1.98,1.98,2.08,1.00,1.00,3.00,1.98,1.98,0.92,1.00
ftall,0.70,0.65,0.85,0.58,0.53,0.50,0.60,0.70,0.58,0.58,0.00,0.50
flint,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
ffcap,0.10,0.10,0.30,0.10,0.10,0.10,0.08,0.10,0.10,0.10,0.10,0.10
spore,0.30,0.40,0.40,0.35,0.30,0.30,0.25,0.30,0.30,0.30,0.30,0.30
fratio,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
fm,0.13,0.06,0.11,0.11,0.13,0.08,0.37,0.06,0.06,0.06,0.06,0.11
base,-4.61,-1.82,-1.82,-2.00,-4.61,-2.05,0.97,-1.85,-1.82,-1.82,-1.82,-1.82
fmn,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
uadj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tipm,0.10,0.10,0.10,0.10,0.10,0.10,0.15,0.10,0.10,0.10,0.10,0.10
rho,0.33,0.33,0.33,0.33,0.33,0.33,0.60,0.33,0.33,0.33,0.33,0.33
whcl,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04
alb,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.18,0.11,0.11,0.11,0.11
sublim_rate,0.29,0.11,0.01,0.01,0.29,0.10,0.05,0.20,0.11,0.11,0.11,0.01
idump,2.00,2.00,6.00,7.00,8.00,6.00,9.00,13.00,13.00,13.00,13.00,13.00
snocap,6000.00,-600.00,-600.00,-600.00,6000.00,6000.00,300.00,-600.00,-600.00,-600.00,-600.00,-600.00
nsdc,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
sdcsca,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
sdcd,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
