Parameter,barren,mixed,agricultural,wetland,water,impervious
ds,1.00E+00,1.00E+01,2.00E+00,1.00E+09,0.00E+00,1.00E+00
dsfs,1.00E+00,1.00E+01,2.00E+00,1.00E+09,0.00E+00,1.00E+00
Rec,4.00E-01,8.00E-01,6.00E-01,1.00E-01,1.00E-01,1.00E-01
AK,3.00E+00,1.20E+01,3.00E+00,4.00E+02,-1.00E-01,1.00E-11
AKfs,3.00E-02,1.20E+00,3.00E-01,4.00E+02,-1.00E-01,1.00E-11
retn,4.00E+01,7.00E+01,4.00E+01,4.00E-01,1.00E-01,1.00E-01
ak2,2.00E-03,3.20E-03,2.00E-03,2.00E-11,1.00E-03,1.00E-11
ak2fs,8.00E-03,1.20E-02,8.00E-03,7.50E-11,1.00E-03,1.00E-11
R3,1.97E-01,8.48E-02,1.97E-01,8.98E-02,4.00E-02,4.00E-02
R3fs,1.00E-01,1.00E-01,2.00E-01,1.00E-01,4.00E-02,4.00E-02
r4,1.00E+00,1.00E+01,1.00E+01,1.00E+01,1.00E+01,1.00E+01
ch,1.00E+00,9.00E-01,7.00E-01,7.00E-01,6.00E-01,6.00E-01
MF,1.10E-01,1.00E-01,1.10E-01,1.10E-01,1.50E-01,1.50E-01
BASE,-2.50E+00,-1.50E+00,-2.00E+00,-2.00E-01,-2.50E+00,0.00E+00
NMF,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
fmadj,0,0,0,0,0,0
