Parameter,rivtype1,rivtype2,rivtype3,rivtype4,rivtype5
lzf,1.00E-06,1.00E-06,1.00E-06,1.00E-06,1.00E-06
pwr,3.00E+00,3.00E+00,3.00E+00,3.00E+00,3.00E+00
R1n,4.00E-02,4.00E-02,4.00E-02,4.00E-02,4.00E-02
R2n,1.07E-02,1.86E-02,1.32E-02,1.00E-02,1.57E-02
mndr,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
aa2,1.10E-01,1.10E-01,1.10E-01,1.10E-01,1.10E-01
aa3,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02
aa4,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
theta,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
widep,2.00E+01,2.00E+01,2.00E+01,2.00E+01,2.00E+01
kcond,1.00E-01,1.00E-01,1.00E-01,1.00E+01,1.00E-01
